model,system,window,metric,stratum,n_devices,n_scenes,n_groups,group_macro,median,p90
E2_GAT_H128,IEEE39,full,trajectory_rmse,BELOW_HIGH,2982,364,230,0.05935062541585513,0.017578593921689763,0.09290688761575426
E2_GAT_H128,IEEE39,full,differential_rmse,BELOW_HIGH,2982,364,230,0.04132765658080843,0.00808954032648044,0.05990334544330836
E2_GAT_H128,IEEE39,0_2,trajectory_rmse,BELOW_HIGH,2982,364,230,0.048206353761503354,0.032312768349590085,0.1172111216470458
E2_GAT_H128,IEEE39,0_2,differential_rmse,BELOW_HIGH,2982,364,230,0.03771965256085139,0.021618884718620314,0.060107474167891826
E2_GAT_H128,IEEE39,2_10,trajectory_rmse,BELOW_HIGH,2781,315,181,0.07143208752929223,0.019968600107964998,0.0944836547761604
E2_GAT_H128,IEEE39,2_10,differential_rmse,BELOW_HIGH,2781,315,181,0.03073120712813426,0.00381387536495995,0.02306643316540641
E2_GAT_H128,IEEE39,10_30,trajectory_rmse,BELOW_HIGH,2781,315,181,0.07154098043165055,0.014714853796280776,0.09896201053585692
E2_GAT_H128,IEEE39,10_30,differential_rmse,BELOW_HIGH,2781,315,181,0.02878974623447869,0.0025741985453762092,0.023014070949960056
E3_GCN_H128,NPCC140,full,trajectory_rmse,BELOW_HIGH,12539,322,68,0.012880767478483563,0.0045863673568389,0.010286134573790667
E3_GCN_H128,NPCC140,full,differential_rmse,BELOW_HIGH,12539,322,68,0.03285987740806213,0.0022800386436466363,0.0095715263622242
E3_GCN_H128,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,12539,322,68,0.021991035299666097,0.012802297982950116,0.03265346694463227
E3_GCN_H128,NPCC140,0_2,differential_rmse,BELOW_HIGH,12539,322,68,0.030413906134704485,0.006822732281503024,0.029114456134212967
E3_GCN_H128,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,12453,277,56,0.006413523052112647,0.0030976417989076847,0.0076561923345137926
E3_GCN_H128,NPCC140,2_10,differential_rmse,BELOW_HIGH,12453,277,56,0.007655691586796832,0.0016633965491821335,0.008322049168800465
E3_GCN_H128,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,12453,277,56,0.008675001850587978,0.0024469001830072904,0.004905332820460373
E3_GCN_H128,NPCC140,10_30,differential_rmse,BELOW_HIGH,12453,277,56,0.018932208897586986,0.001199424531143725,0.0031110866353726593
E3_GCN_H128,IEEE39,full,trajectory_rmse,BELOW_HIGH,2982,364,230,0.06912598069495131,0.030931525323535512,0.11582153755136475
E3_GCN_H128,IEEE39,full,differential_rmse,BELOW_HIGH,2982,364,230,0.04597110578549713,0.007464590583893286,0.06519269984500851
E3_GCN_H128,IEEE39,0_2,trajectory_rmse,BELOW_HIGH,2982,364,230,0.05164416016819739,0.03594713353388003,0.1307996766610255
E3_GCN_H128,IEEE39,0_2,differential_rmse,BELOW_HIGH,2982,364,230,0.041517955847691634,0.019676046159535797,0.06095105965129305
E3_GCN_H128,IEEE39,2_10,trajectory_rmse,BELOW_HIGH,2781,315,181,0.08180399102706838,0.0262692274384032,0.11468914682633902
